language,location,message
en,Geneva,#Muslim Council of France calls Muslims to express solidarity and offer financial support to the rebuilding of Notr… https://t.co/1I8zvbG4ke
fr,,"Apple will help rebuild Notre-Dame Cathedral after its massive fire, according to CEO Tim Cook https://t.co/mVXgbdarKf via @BIfrance"
en,Exile,@hashimumarali It's on their website. Here is a press release from the French Union of Mosques in France: https://t.co/m6UdGIY69P
en,Ouagadougou BURKINA FASO/Western Africa,"FRANCE: Notre-Dame: the company in charge of the scaffolding ""excludes all responsibility"" ""They confirmed that the… https://t.co/5PgoWY0MbU"
en,"Sacramento, CA",Notre Dame Cathedral Fire: Victor Hugo 'Hunchback' Amazon Surge - Bloomberg https://t.co/UPVh64B2Pv
nl,,Notre Dame: African king wants to take part in reconstruction... https://t.co/heWxmzjpZz
en,Toronto,"He’s right. Despite having legislation ensuring a secular France, separation of Church and State:… https://t.co/UXcz9mGdpc"
en,,"If we're going to talk about patrimoine and preservation, then can we also include Romanesque village churches in t… https://t.co/HfX1hofzMA"
fr,,"@TipsyPianoBar @cefoussa @krunch_fr https://t.co/qxtg5XZZPO
https://t.co/aIwmS8NBa3
in the same vidéo at 42 min you… https://t.co/JqJxqPJ42J"
fr,Novalaise,Notre-Dame fire: International call for architects to design new spire https://t.co/SODy5SDEE7
fr,"Ile-de-France, France","#wewillrebuildit 

All our thoughts go to the teams who take care of this wonder and make it live every day.

You c… https://t.co/rYTEee4Nk2"
en,Islamic Republic of Pakistan,Will we ever raise voice fr uighur muslims like we do fr Kashmiris &amp; Palestinians?Or the Chinese💰💴 will keep us sil… https://t.co/10DMRU8poL
en,"Paris, France",Planning to visit the Notre Dame? The cathedral will be closed for at least five years for reconstruction work. Som… https://t.co/PyWAH2KTfL
fr,Novalaise,"Day after devastating Notre Dame Cathedral fire, millions in donations pour in https://t.co/TB13G8QpKy"
fr,Amsterdam,"Rebuilding Notre-Dame will just be a copy...
2019: maybe it's time to not rebuild it. https://t.co/exHAIgptjr"
en,"Paris, France","Words and Photos for a Devastated Notre Dame Cathedral in Paris

https://t.co/8lcJbFapFU @FranceToday… https://t.co/sU76zFn1eV"
en,USA,"""The fire could not start from a short circuit, from a single incident. It takes a real heat load at the start to l… https://t.co/8nGCSuia7F"
en,wherever you need me ,when someone said notre dame was on fire i thought march madness was still going on fr lmaooo
en,,@CEDS79445099 @USofDisaster The answer to your question is in this article:   https://t.co/sOoPJuPnKQ
en,PLANET EARTH,"Glitch signalled blaze in wrong location... https://t.co/0oforWsKnt

Glitch signalled blaze in wrong location...

(… https://t.co/XwRADYBWVB"
en,,@saltandlighttv @JamesMartinSJ @americamag Fr. Martin missed one specific place God was while Notre Dame burned. Go… https://t.co/6f1cIqMrDK
en,Orion Spur: S. Milky Way,"En larmes, Greta Thunberg appelle l'Europe à sauver le climat comme elle le fait pour Notre-Dame… https://t.co/EgXqqWb9gK"
en,"Brussels, Ontario, Canada",What happened to Notre-Dame de Paris is deeply unfortunate. Fires are not uncommon during building restorations and… https://t.co/L06dIw2HEZ
en,"Paris, France","""Macron looks to '07 Myer fire in Hobart for inspiration"" https://t.co/HTTAFO1dyv"
en,"Orange, NJ, USA","Notre Dame was once a symbol of heaven on earth. Today, it is a symbol of how far we have drifted from the divine v… https://t.co/JJ4rDgK5aF"
en,"Notre Dame, Ind.","Professors discussed a new book on Fr. Hesburgh as well as his legacy at Notre Dame and beyond. 
https://t.co/SWZOHGxEJl"
en,,"In French, a good explainer on the insurance question surrounding #NotreDame (TL;DR: no insurance as cathedral is o… https://t.co/3MvIpCk99A"
en,,"IN IMAGES, IN PICTURES.
Fire of #NotreDameCathedralFire #NorteDamedeParis: the impressive photos of the flames capt… https://t.co/79ExZzsMJW"
en,,@Heidi_Nacht @ABC I'm in Europe too &amp; I had no trouble landing on the piece by Rob Crilly dated Apr16:… https://t.co/8iZyVFMznG
en,Martha's Vineyard & California,Want GOOD NEWS darling girls? One BILLION donated so far to rebuilding Notre Dame!!! One Billion Fifty counting me!… https://t.co/tK7fowBCBp
en,"iPhone: 40.718582,-73.948105","Victor Hugo's Hunchback of Notre Dame Sales Soar on Amazon France
https://t.co/oBJ3RdrdKG"
en,Bordeaux,"@davidallengreen No mention of it in France as far as I can see, where the talk is focused more around owners of fo… https://t.co/YpECUb4SZ0"
pt,,@joesaward Unfortunately it seems to be incorrect: https://t.co/vAxGCosLeR According to this article there are no l… https://t.co/RKZlo9DVfr
fr,France,"How french firefighters used drones and robot called 'Colossus' to tackle blaze, as restoration fund nears one bill… https://t.co/qRoe6nyoWu"
en,"Virginia, USA",Very nice short vid on ND organ w/organist Olivier Latry. Great views of the church’s fabric. https://t.co/6SgvCa59bm #NotreDameDeParis
fr,"Paris, Europe, Normandie, ","#Notre_Dame_de_Paris: I thank our friends and heads of #netexplo states for their great support, and for their frie… https://t.co/3yssvFTnbD"
en,"New York, USA",The double roof system may have helped to minimize damage to the overall structure of the cathedral. La charpente |… https://t.co/Jp1hUJefpW
fr,Novalaise,"Notre-Dame cathedral fire aftermath, in pictures https://t.co/oKyj4Itog3"
en,Metro DC,"#NOTRE_DAME « At 7pm on Thursday 18 April, @ManCathedral will join cathedrals and churches across England as we rin… https://t.co/xu7qg5qXTB"
fr,France,. @ManCathedral will join cathedrals and churches across England as we ring the bells for 7 minutes as a mark of so… https://t.co/HcP65aXFsi
en,Luxembourg,Notre Dame Fire: Several Artifacts Were Saved And Transfer To Louvre Museum (FR M6) https://t.co/9VF6d4LV9q https://t.co/SZ6OM8LIbe
fr,,Notre-Dame: Apocalypse badauds - Causeur https://t.co/p16WdArfN1
en,"Texas, USA","From all over they come to rebuild Notre Dame.

https://t.co/cDH1sb0Ihl"
en,PLANET EARTH,"Pained Pope pays tribute to firefighters... https://t.co/9AOz7gFAc1

Pained Pope pays tribute to firefighters...

(… https://t.co/AfpIp1Yr4I"
en,"Paris, France","@mxfh Almost everything visible has been, by multiple entities. Details here: https://t.co/1h4ygtqRvw"
fr,web,The effort to rebuild Notre-Dame Cathedral could get help from an unlikely source: A video game https://t.co/C0jFMsTcqB
fr,France,"#EdouardPhilippe sort ses potiches...

https://t.co/7305WyXEbB"
en,"Limerick and Dublin, Ireland",Help fund the rebuilding of Notre Dame at this site https://t.co/7B5CtHi5Hb. Donations start from €30 and have alre… https://t.co/HxGQ7i7QUt
en,London,France to launch international architecture contest to replace Notre-Dame spire  https://t.co/Yi3M9kRZNn
en,Luxembourg,Notre Dame Fire: Restoration Works Begin (FR BFM) https://t.co/QtGI5vbryW https://t.co/ZITt7U2dtm
en,,"Uh-oh.

We need prayer and action to ensure that any rebuild of Notre Dame is consistent with the original intent o… https://t.co/0qk8Py7Lpf"
nl,"Groningen, the Netherlands",Fr. Dwight's sensible commentary in the light of the  conspiracy theories surrounding the Notre Dame fire. https://t.co/7Vv6Cow7TK
en-GB,,"Looks like the NDP production team are on board with creating an event with cast members from all the troupes, to h… https://t.co/5az1F45btF"
en,uopuo⅂,"Discussion in France seems to have switched to €€€… (Memes cross borders pretty smoothly too)

J.-J. Aillagon, Fren… https://t.co/je3dv2KGIN"
fr,Neverwinter,#Pinault announced he will decline to be refunded for his donation of €100 million. Thank you 👏 https://t.co/QRf7hJxAKe #NotreDame #NDD
en,Bruxelles / Reykjavík,"@simonjhix No one should evade taxes, but for the record, Pinault said won't ask for tax exemption https://t.co/en6ys3ISJO"
en,,"If you’d never visited Paris or climbed to the roof of Notre Dame, this is what you missed! 

I spent a week in Par… https://t.co/tNSjCqiEAW"
en,,@AZeidman Actually it would be 60% and in reality the Pinault family has waived the potential tax benefit as I susp… https://t.co/dNNFQeetN4
en,Just behind you.,"Quick list of additional citations, because *checks total* twitter accounts with 1800 followers certainly aren't in… https://t.co/xu4UiwaD3b"
fr,,"Dont acte 
https://t.co/ttF2em8Iio"
en,Berlin,Some light reading...  https://t.co/kPIVgNajxh via @luxury @HeleneFouqet
fr,,Notre Dame des Cryptos a multisig BTC or ETH wallet to raise fund to rebuild Notre Dame de Paris...… https://t.co/tUpD65QrM2
en,"Hobart, Tasmania, Australia",IN PICTURES: Full scale of the damage at Notre-Dame revealed https://t.co/Hc33dCniWk
de,Europe,"Today, We are Europe donated, in a first step, 100 € to le Centre des monuments nationaux to support the reconstruc… https://t.co/NfCWowchjn"
en,"London, England","Ok. Time to give for Notre Dame. 
It’s the only thing we can do. 
These are the French Government appointed Chariti… https://t.co/4GPWh8Firk"
fr,Paris,56 countries already engaged in the crowdfunding campaign launched by @DartagnansFR for @notredameparis. From the b… https://t.co/zpg2esWLba
fr,france,My drawing about notre dame. https://t.co/zdMagDTRdC
en,,"Would you like to visit with us?
 ⭐ https://t.co/Cv0IUVN3Om

#paris #parisfashionweek #parisfrance #paris_focus_on… https://t.co/OOTVovm5IB"
en,,@TuckerCarlson Are you aware of the violent rhetoric manifested in tweets from certain members of the university of… https://t.co/91WQk3fmH4
en,,"“The Hunchback of Notre-Dame,” by Victor Hugo, jumped to first place on the bestseller list of Amazon France after… https://t.co/VGCuvdhqSL"
en,Singapore,Victor Hugo's Hunchback of Notre Dame Sales Soar on Amazon France https://t.co/MXlff9nT8E
en,"Laois, Ireland",Former Stradbally Parish Priest Fr Sean Maher was once a chaplain in Paris and said mass in the cathedral... https://t.co/omow71IglG
fr,Paris,"@piersmorgan As the French state is in debt, François Henri Pinault announced that he renounces to the tax exemptio… https://t.co/4xSm8Hux92"
fr,Novalaise,"Notre-Dame, Columbine, Beyoncé: Your Wednesday Briefing https://t.co/VEIlb2u8kC"
en,Cairo,"OMG!
Donations pour in from around world as Notre-Dame fund reaches €700m in 24 hours https://t.co/zPzEHcxaxJ via @TheLocalFrance"
en,InMyBed,"Intl people saying to not donate to the Restoration of Notre Dame because Catholic Church have too much money...
Th… https://t.co/6DqurYOjHK"
en,"Barbès - Paris, France","Sorry conspiracy theory cretins, accidents happen during renovations like this. Go back to hiding under rocks and f… https://t.co/NhGAmN6Fac"
en,Lithuania,Notre-Dame in Paris in 17 vintage photographs https://t.co/qwicCzkXxu
en,Barcelona,":) :)
The effort to rebuild Notre-Dame Cathedral could get help from an unlikely source: A video game https://t.co/ZPZqbV6qZk via @BIfrance"
