language,location,message
en,middle earth,"RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
it,Genova,RT @YannLeGales: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
en,| nohr | !?(･_･;?,Y’all is really donating money to save Notre Dame but did NOTHING about Wannado City? Is y’all fr?
es,,RT @YannLeGales: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
it,,Disney promet 5 millions de dollars pour reconstruire #NotreDame https://t.co/lAu2zFSBMQ
fr,"Ile-de-France, France",Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/jbLvfHJACR
it,#Italistan / #Idiotistan,RT @YannLeGales: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
en,Canada,"RT @ramzpaul: ""The fire could not start from a short circuit, from a single incident. It takes a real heat load at the start to launch such…"
fr,Algeria 🇩🇿,"@JaimeOran31 Fake News 
https://t.co/IUr3gLF2Bh"
es,,RT @YannLeGales: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
en,"Los Angeles, California","I can’t read French, but apparently two heat-imaging drones helped firefighters save the two bell towers from the N… https://t.co/bVCl2eq2h8"
fr,France,RT @YannLeGales: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
en,"Dublin City, Ireland",RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
en,,"RT @RorateCaeli: Wonderful!

The copper Rooster that topped the collapsed spire of Notre-Dame de Paris has been found and the debris, with…"
en,South Jersey; DMV,"I interviewed @gsunghera, a Jesuit professor of architecture at @UDMDetroit, about the #NotreDameCathedralFire and… https://t.co/lhdVNv2DoV"
en,,"RT @ramzpaul: ""The fire could not start from a short circuit, from a single incident. It takes a real heat load at the start to launch such…"
es,,"RT @HenryMakow: ""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circuit, fro…"
es,,"RT @RorateCaeli: Wonderful!

The copper Rooster that topped the collapsed spire of Notre-Dame de Paris has been found and the debris, with…"
en,,"Interactive Before and After views of Notre-Dame 

https://t.co/YxY9m3GJ9n https://t.co/uD9rWSBomh"
en,,"RT @GeorgeMEberhart: Notre Dame cathedral engulfed in massive fire. Watch live on CNN, or see https://t.co/UB5PDcaEC5…/incendie-en-cours-a-…"
en,"Tempe, AZ","RT @EkellyFr: Notre Dame’s rose windows survived the fire, https://t.co/vYoLJlO8Jf"
en,"Paris, France",A percentage of the sales of Stade Francais' shirts next season will given to the re-building efforts of the Notre… https://t.co/l8MTUygiEd
en,"San Jose, CA","RT @Medievalista: If we're going to talk about patrimoine and preservation, then can we also include Romanesque village churches in the dis…"
en,"Germantown, MD","RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
fr,Temmie Village,"RT @r_demiranda: Hey french people. Despite how heartbroken I was over Notre Dame recently, I do not think an old building should receive y…"
en,"San Francisco, CA",Notre Dame in the 1840s: https://t.co/y7C5WfBqbq
es,,I share this link of the French National Monuments Centre for anyone interested in participating  in the reconstruc… https://t.co/YEax7Gl9V6
en,"New York, NY",Two great platforms to donate for #NotreDame: @FrenchHeritage (https://t.co/FyywbzXmrX) and The Friends of Notre Da… https://t.co/wYP8ESUWje
fr,Suède,"Hey french people. Despite how heartbroken I was over Notre Dame recently, I do not think an old building should re… https://t.co/TlvCxrkq4m"
fr,"Paris, France",What happened at Notre-Dame https://t.co/p5lnj4GbdA #BigData
en,"Lake Station, Indiana",RT @NotreDame: The bells of the @ndbasilica tolled 50 times — representing the 50 Hail Marys of Our Lady’s rosary — at 6 p.m. today to mark…
fr,Paris,Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
fr,Novalaise,"Ubisoft pledges monetary, tech assistance for Notre Dame Cathedral restoration https://t.co/Vl3d9bHsbt"
