ADDRESS,LOCATION_TYPE,LATITUDE,LONGITUDE
'Shreveport, LA','ROOFTOP',32.525152,-93.750179
'undefined','APPROXIMATE',43.42537,-80.5112
'Norfolk, VA','ROOFTOP',36.895911,-76.208521
'Tennessee, USA','ROOFTOP',36.538846,-87.364887
'undefined','APPROXIMATE',-12.04318,-77.02824
'Grand Rapids, MI','ROOFTOP',42.984226,-85.629101
'undefined','APPROXIMATE',49.88307,-119.48568
'undefined','APPROXIMATE',-25.33968,-57.50879
'Palm Bay, FL','ROOFTOP',28.031367,-80.600412
'Titusville, FL, USA','ROOFTOP',28.612219,-80.807554
'undefined','APPROXIMATE',-10,-55
'Fort Worth, TX','ROOFTOP',32.775409,-97.435599
'River Grove, IL','ROOFTOP',41.923168,-87.83931
'undefined','APPROXIMATE',-38.00228,-57.55754
'New Orleans, LA','ROOFTOP',30.068812,-89.930956
'undefined','APPROXIMATE',19.42847,-99.12766
'undefined','APPROXIMATE',60.10867,-113.64258
'undefined','APPROXIMATE',40.742185,-73.992602
'Tarpon Springs, FL','ROOFTOP',28.147125,-82.678972
'undefined','APPROXIMATE',-25.34682,-57.60647
'Beaumont, CA','ROOFTOP',33.92703,-116.954753
'Clarksville, MI','ROOFTOP',42.835039,-85.252353
'undefined','APPROXIMATE',10,8
'undefined','APPROXIMATE',39.76,-98.5
'Murfreesboro, TN','ROOFTOP',35.762951,-86.372158
'undefined','APPROXIMATE',38.71667,-9.13333
'Beaumont, CA','ROOFTOP',33.92703,-116.954753
'undefined','APPROXIMATE',-34.38839,-58.73762
'undefined','APPROXIMATE',17.8,-91.5333
'dallas texas','ROOFTOP',32.781179,-96.790329
'undefined','APPROXIMATE',40.66101,-7.90971
'undefined','APPROXIMATE',53.48095,-2.23743
'undefined','APPROXIMATE',40.00032,-89.25037
'undefined','APPROXIMATE',38.89511,-77.03637
'Saint Louis, Missouri','ROOFTOP',38.631501,-90.19231
'undefined','APPROXIMATE',-32.94682,-60.63932
'San Francisco, CA ','ROOFTOP',37.784827,-122.727802
'undefined','APPROXIMATE',40.00032,-86.25027
'undefined','APPROXIMATE',43.41136,-106.28002
'undefined','APPROXIMATE',-33.86785,151.20732
'undefined','APPROXIMATE',25.04776,121.53185
'Charlotte, NC','ROOFTOP',35.26002,-80.804151
'undefined','APPROXIMATE',20.83333,-89
'undefined','APPROXIMATE',27.45,76.5333
'undefined','APPROXIMATE',10.48801,-66.87919
'Louisville, Kentucky','ROOFTOP',38.188962,-85.676819
'Wisconsin, USA','ROOFTOP',44.392496,-89.818139
'AMERICA USA','ROOFTOP',33.737886,-87.252502
'Fort Lauderdale, FL ','ROOFTOP',26.121323,-80.127909
'undefined','APPROXIMATE',-33.45694,-70.64827
'undefined','APPROXIMATE',52.35,-2.26667
'undefined','APPROXIMATE',20,77
'Denver, CO','ROOFTOP',39.743291,-105.069027
'undefined','APPROXIMATE',20.66682,-103.39182
'undefined','APPROXIMATE',39.76861,-94.84663
'undefined','APPROXIMATE',25.41942,-101.00128
'undefined','APPROXIMATE',40.1602778,-85.7102778
'Concord, CA','ROOFTOP',37.953672,-122.022872
'West by God Virginia','ROOFTOP',36.934733,-79.012985
'Cape Canaveral, FL','ROOFTOP',28.394642,-80.614323
'undefined','APPROXIMATE',-38.95161,-68.0591
'undefined','APPROXIMATE',31.21564,29.95527
'undefined','APPROXIMATE',20.9767,-89.62059
'undefined','APPROXIMATE',48.75,2.3
'Country Boy, USA','ROOFTOP',38.825666,-77.237127
'undefined','APPROXIMATE',49.02414,1.15082
