VISLAT,VISLONG,REALLAT,REALLONG,NEWLAT,NEWLONG
7428078,5162296,25.42778,49.27306,-25.42778,-49.27306
2946090,10153700,-19.3921,99.1871,19.3921,-99.1871
8485300,6234990,36,60,-36,-60
-202659,-235103,-50.87959,-4.70093,50.87959,4.70093
-265426.48,247773.28,-51.5072648,0.1278328,51.5072648,-0.1278328
160142,12456508,-47.25158,122.21518,47.25158,-122.21518
7463356,5879851,25.78056,56.44861,-25.78056,-56.44861
984993.9,8059549.8,-39.003061,78.245598,39.003061,-78.245598
8085300,6634990,32,64,-32,-64
334514.4,12504069.4,-45.507856,122.690794,45.507856,-122.690794
1579624.4,9908073.1,-33.056756,96.730831,33.056756,-96.730831
8272085,-14885742,33.86785,-151.20732,-33.86785,151.20732
80624.9,12440627.9,-48.046751,122.056379,48.046751,-122.056379
460271,8785023,-44.25029,85.50033,44.25029,-85.50033
1275147.9,9941896.1,-36.101521,97.069061,36.101521,-97.069061
1216917.5,9622564.4,-36.683825,93.875744,36.683825,-93.875744
974999.3,12183216.4,-39.103007,119.482264,39.103007,-119.482264
6182411,4086073,12.97111,38.51083,-12.97111,-38.51083
5013633,-3446677,1.28333,-36.81667,-1.28333,36.81667
8272085,-14885742,33.86785,-151.20732,-33.86785,151.20732
1106817.3,12507770.2,-37.784827,122.727802,37.784827,-122.727802
649457,7340967,-42.35843,71.05977,42.35843,-71.05977
1352513,-2279351,-35.32787,-25.14341,35.32787,25.14341
1352438.7,8341459.2,-35.328613,81.064692,35.328613,-81.064692
1569070.5,9847633,-33.162295,96.12643,33.162295,-96.12643
5385300,-11765010,5,-120,-5,120
1146444.4,12436764,-37.388556,122.01774,37.388556,-122.01774
1372837.5,12034894.2,-35.124625,117.999042,35.124625,-117.999042
519421.6,7261229.3,-43.658784,70.262393,43.658784,-70.262393
1106697.3,12457367.9,-37.786027,122.223779,37.786027,-122.223779
-700814.7,659988.91,-55.861147,4.2499891,55.861147,-4.2499891
1821371.5,9871235.4,-30.639285,96.362454,30.639285,-96.362454
685273,9585039,-42.00027,93.50049,42.00027,-93.50049
1281387.8,8961274,-36.039122,87.26284,36.039122,-87.26284
772239.6,8747876,-41.130604,85.12886,41.130604,-85.12886
1410403.9,9903522.5,-34.748961,96.685325,34.748961,-96.685325
1570426,9650009,-33.14874,94.15019,33.14874,-94.15019
3869098,7035755,-10.16202,68.00765,10.16202,-68.00765
334416,7593771,-45.50884,73.58781,45.50884,-73.58781
1489965.1,11974605.6,-33.953349,117.396156,33.953349,-117.396156
1540462,11442394,-33.44838,112.07404,33.44838,-112.07404
356091.8,9618861.1,-45.292082,93.838711,45.292082,-93.838711
8285300,6634990,34,64,-34,-64
7175856,4941073,22.90556,47.06083,-22.90556,-47.06083
1510400,8673788,-33.749,84.38798,33.749,-84.38798
4853672,-3023229,-0.31628,-32.58219,0.31628,32.58219
2585300,10434990,-23,102,23,-102
385285,6534855,-45.00015,62.99865,45.00015,-62.99865
4585300,-9905010,-3,-101.4,3,101.4
649457,7340967,-42.35843,71.05977,42.35843,-71.05977
6089618,7937814,12.04318,77.02824,-12.04318,-77.02824
3836499,6922909,-10.48801,66.87919,10.48801,-66.87919
1487126.5,9390770,-33.981735,91.5578,33.981735,-91.5578
2317794,10266836,-25.67506,100.31846,25.67506,-100.31846
2885300,-7465010,-20,-77,20,77
1554721.7,11409089.2,-33.305783,111.740992,33.305783,-111.740992
6877383,4628768,19.92083,43.93778,-19.92083,-43.93778
4550300,-9890010,-3.35,-101.25,3.35,101.25
7240050,4898601,23.5475,46.63611,-23.5475,-46.63611
7085300,5134990,22,49,-22,-49
885118.9,7746777,-40.001811,75.11787,40.001811,-75.11787
515289,8176620,-43.70011,79.4163,43.70011,-79.4163
285300,34990,-46,-2,46,2
-494441.85,389369.41,-53.7974185,1.5437941,53.7974185,-1.5437941
460271,8785023,-44.25029,85.50033,44.25029,-85.50033
7641356,-14960396,27.56056,-151.95386,-27.56056,151.95386
995789,7938627,-38.89511,77.03637,38.89511,-77.03637
4403967,7804601,-4.81333,75.69611,4.81333,-75.69611
161889.3,12425383.6,-47.234107,121.903936,47.234107,-121.903936
-186221.24,433316.93,-50.7152124,1.9832693,50.7152124,-1.9832693
764465,1063275,-41.20835,8.28285,41.20835,-8.28285
6999078,5132268,21.13778,48.97278,-21.13778,-48.97278
4785300,-465010,-1,-7,1,7
907790.8,8848206,-39.775092,86.13216,39.775092,-86.13216
2010246,8485000,-28.75054,82.5001,28.75054,-82.5001
1060269,9485036,-38.25031,92.50046,38.25031,-92.50046
8285300,6634990,34,64,-34,-64
344183,7804802,-45.41117,75.69812,45.41117,-75.69812
648243.3,7337686.4,-42.370567,71.026964,42.370567,-71.026964
3869098,7035755,-10.16202,68.00765,10.16202,-68.00765
4085300,6834990,-8,66,8,-66
1508144,8113464.5,-33.77156,78.784745,33.77156,-78.784745
1606994,9915657,-32.78306,96.80667,32.78306,-96.80667
909300,10084990,-39.76,98.5,39.76,-98.5
6182411,4086073,12.97111,38.51083,-12.97111,-38.51083
1128474,-12462793,-37.56826,-126.97783,37.56826,126.97783
-1125567,11599248,-60.10867,113.64258,60.10867,-113.64258
811081.5,7634250.2,-40.742185,73.992602,40.742185,-73.992602
2296540.5,8248105.6,-25.887595,80.131156,25.887595,-80.131156
-631367,12115261,-55.16667,118.80271,55.16667,-118.80271
4085300,6834990,-8,66,8,-66
3585300,-11965010,-13,-122,13,122
1287798,8248334.2,-35.97502,80.133442,35.97502,-80.133442
1107807,12476932,-37.77493,122.41942,37.77493,-122.41942
1920400.7,8467441.5,-29.648993,82.324515,29.648993,-82.324515
2975300,10029990,-19.1,97.95,19.1,-97.95
1607182.1,9914022.9,-32.781179,96.790329,32.781179,-96.790329
8185300,5834990,33,56,-33,-56
662018,1107254,-42.23282,8.72264,42.23282,-8.72264
893419.6,7774901.8,-39.918804,75.399118,39.918804,-75.399118
710544,7300806.4,-41.74756,70.658164,41.74756,-70.658164
